tbl_SipIPPairConfig(tbl_SipIPPairConfig)

Export Time:2018/06/03 10:44:58

ID,Trunk No,IFM Module,Local server port,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Remote URI,Master/Slave type,Remote IP1,Remote IP2,Remote IP3,Remote IP4,Second Remote URI,Second Master/Slave type,PBX Domain Name,IsDeleteTechprefix,Techprefix,Protocol Type,Reserved,PBX Equipment ID,Status
89,906,133,5060,10,201,146,17,10.201.146.17:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
90,907,133,5060,10,201,147,17,10.201.147.17:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
91,1650,133,5060,10,201,148,49,10.201.148.49:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
92,1651,133,5060,10,201,149,49,10.201.149.49:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
93,912,133,5060,10,201,146,20,10.201.146.20:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
94,913,133,5060,10,201,147,20,10.201.147.20:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
95,916,133,5060,10,201,146,22,10.201.146.22:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
96,917,133,5060,10,201,147,22,10.201.147.22:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
97,918,133,5060,10,201,146,23,10.201.146.23:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
98,919,133,5060,10,201,147,23,10.201.147.23:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
99,922,133,5060,10,201,146,25,10.201.146.25:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
100,923,133,5060,10,201,147,25,10.201.147.25:5060,Master,255,255,255,255,255.255.255.255:65535,Slave,,True,,UDP,'0,,1
