tbl_SubTrkGrp(tbl_SubTrkGrp)

Export Time:2018/06/03 10:10:04

Trunk group number,Sub-route number,Priority level,Availability,Reserved,Status
674,674,'0,255,'0,1
675,675,'0,255,'0,1
676,676,'0,255,'0,1
679,679,'0,255,'0,1
680,680,'0,255,'0,1
681,681,'0,255,'0,1
682,682,'0,255,'0,1
683,683,'0,255,'0,1
684,684,'0,255,'0,1
685,685,'0,255,'0,1
686,686,'0,255,'0,1
687,687,'0,255,'0,1
688,688,'0,255,'0,1
689,689,'0,255,'0,1
690,690,'0,255,'0,1
691,691,'0,255,'0,1
692,692,'0,255,'0,1
693,693,'0,255,'0,1
694,694,'0,255,'0,1
695,695,'0,255,'0,1
696,696,'0,255,'0,1
700,700,'0,255,'0,1
701,701,'0,255,'0,1
702,702,'0,255,'0,1
703,703,'0,255,'0,1
704,704,'0,255,'0,1
705,705,'0,255,'0,1
706,706,'0,255,'0,1
707,707,'0,255,'0,1
710,710,'0,255,'0,1
711,711,'0,255,'0,1
712,712,'0,255,'0,1
713,713,'0,255,'0,1
714,714,'0,255,'0,1
715,715,'0,255,'0,1
716,716,'0,255,'0,1
717,717,'0,255,'0,1
718,718,'0,255,'0,1
719,719,'0,255,'0,1
720,720,'0,255,'0,1
721,721,'0,255,'0,1
722,722,'0,255,'0,1
723,723,'0,255,'0,1
726,726,'0,255,'0,1
727,727,'0,255,'0,1
728,728,'0,255,'0,1
729,729,'0,255,'0,1
730,730,'0,255,'0,1
731,731,'0,255,'0,1
732,732,'0,255,'0,1
733,733,'0,255,'0,1
734,734,'0,255,'0,1
735,735,'0,255,'0,1
736,736,'0,255,'0,1
737,737,'0,255,'0,1
738,738,'0,255,'0,1
739,739,'0,255,'0,1
740,740,'0,255,'0,1
741,741,'0,255,'0,1
742,742,'0,255,'0,1
743,743,'0,255,'0,1
744,744,'0,255,'0,1
745,745,'0,255,'0,1
746,746,'0,255,'0,1
747,747,'0,255,'0,1
748,748,'0,255,'0,1
749,749,'0,255,'0,1
750,750,'0,255,'0,1
751,751,'0,255,'0,1
754,754,'0,255,'0,1
755,755,'0,255,'0,1
756,756,'0,255,'0,1
757,757,'0,255,'0,1
758,758,'0,255,'0,1
759,759,'0,255,'0,1
760,760,'0,255,'0,1
761,761,'0,255,'0,1
762,762,'0,255,'0,1
763,763,'0,255,'0,1
764,764,'0,255,'0,1
765,765,'0,255,'0,1
766,766,'0,255,'0,1
767,767,'0,255,'0,1
768,768,'0,255,'0,1
769,769,'0,255,'0,1
770,770,'0,255,'0,1
771,771,'0,255,'0,1
772,772,'0,255,'0,1
773,773,'0,255,'0,1
774,774,'0,255,'0,1
775,775,'0,255,'0,1
776,776,'0,255,'0,1
777,777,'0,255,'0,1
778,778,'0,255,'0,1
779,779,'0,255,'0,1
780,780,'0,255,'0,1
781,781,'0,255,'0,1
782,782,'0,255,'0,1
783,783,'0,255,'0,1
784,784,'0,255,'0,1
785,785,'0,255,'0,1
788,788,'0,255,'0,1
789,789,'0,255,'0,1
790,790,'0,255,'0,1
791,791,'0,255,'0,1
792,792,'0,255,'0,1
793,793,'0,255,'0,1
794,794,'0,255,'0,1
795,795,'0,255,'0,1
796,796,'0,255,'0,1
797,797,'0,255,'0,1
798,798,'0,255,'0,1
799,799,'0,255,'0,1
800,499,'0,255,255,1
801,801,'0,255,255,1
802,802,'0,255,255,1
804,804,'0,255,255,1
807,807,'0,255,255,1
808,808,'0,255,255,1
809,809,'0,255,255,1
810,810,'0,255,255,1
812,812,'0,255,255,1
813,813,'0,255,255,1
819,819,'0,255,255,1
820,820,'0,255,255,1
823,823,'0,255,255,1
824,824,'0,255,255,1
825,825,'0,255,255,1
826,826,'0,255,255,1
828,828,'0,255,255,1
829,829,'0,255,255,1
830,830,'0,255,255,1
834,834,'0,255,255,1
835,835,'0,255,255,1
837,837,'0,255,255,1
838,838,'0,255,255,1
840,840,'0,255,255,1
841,841,'0,255,255,1
842,842,'0,255,255,1
843,843,'0,255,255,1
844,844,'0,255,255,1
847,847,'0,255,255,1
848,539,'0,255,255,1
849,849,'0,255,255,1
850,850,'0,255,255,1
853,853,'0,255,255,1
854,854,'0,255,255,1
855,855,'0,255,255,1
856,856,'0,255,255,1
857,857,'0,255,255,1
