tbl_CallPreProc(tbl_CallPreProc)

Export Time:2018/06/03 11:07:18

ID,Call source code,Call code,Nature of callee address indicator,Centrex GroupNo,Local DN set,Call prefix,Caller category,Time Index,Orginal SubCategory,Call prefix processing name,Call from,Called number change flag,Method of sending tone,Failure processing flag,Caller number change flag,Call Prefix Processing control flag,Color ring mode,Reserved,New DN set,Called number change index,Caller number change index,Mobile send tone method,Reanalysis,Tone position,Send answer signal,Reserved Field,Reanalysis items,Signal tone type,Processing type,Failure cause code,SCP parameter table index,New Local DN set,New Call Source Code,Master/Slave type,Adjust called num flag,Adjust called num before change flag,Adjust called collected num flag,Reserved Field,SubCategory,Prefix index,Service access code,Reserved For Hot Patch,Status
1,100,185,All number,65535,'0,'00,All categories,'0,65534,CHANGE_LDANSET,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'01000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1527,299,185,All number,65535,'0,'00,All categories,'0,65534,change_ldnset,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
4,501,185,All number,65535,'0,'00,All categories,'0,65534,CHANGE_LDANSET,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1439,231,3663,All number,65535,14,'0021620491469,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1738,156,4061,All number,65535,19,'00447391436007,All categories,'0,65534,TO LDNSET1,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1438,231,3662,All number,65535,14,'00601138202231,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1610,15,3836,All number,65535,10,'008801,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,16,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1611,15,3837,All number,65535,10,'0091,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,16,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1740,156,4063,All number,65535,19,'00917666315735,All categories,'0,65534,TO LDNSET1,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
1436,231,3660,All number,65535,14,'00919849735806,All categories,'0,65534,Noname,MAP,True,Not send tone,False,False,Normal,Not Send,'0,NULL,1,'0(No Change),Not sending tone,True,'0,True,'0,'00000000,Record 0,No process,Interconnection not defined,255,1,65535,Master,True,True,True,'0,65534,254,FFFFFFFF,'0,1
