Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
674,SIPTG_Indian School AlKabir,Select by percentage,100,0,0,0,1576,1577,None,None
675,SIP_Desert_Line_Eng,Select by percentage,100,0,0,0,675,676,None,None
676,SIPTG_Oman Medical Board,Select by percentage,100,0,0,0,1580,1581,None,None
678,SIPTG_Habib Bank Limited_7,Select by percentage,100,0,0,0,1584,1585,None,None
679,SIP_Spicy_V,Select by percentage,100,0,0,0,679,680,None,None
680,SIPTG_Oman Trading Est. LLC,Select by percentage,100,0,0,0,1582,1583,None,None
681,SIPTG_Zubair Auto1,Select by percentage,100,0,0,0,681,682,None,None
682,SIPTG_Catering Co LLC,Select by percentage,100,0,0,0,1586,1587,None,None
683,SIPTG_Zubair Auto2,Select by percentage,100,0,0,0,683,684,None,None
684,SIPTG_Habib Bank Ltd2,Select by percentage,100,0,0,0,1566,1567,None,None
685,SIPTG_Zubair Auto3,Select by percentage,100,0,0,0,685,686,None,None
686,SIPTG_ALNSR LLHLWL,Select by percentage,100,0,0,0,1588,1589,None,None
687,SIP_Bahwan_Cybertek,Select by percentage,100,0,0,0,687,688,None,None
688,SIPTG_Colge of Banking & Financial,Select by percentage,100,0,0,0,1598,1599,None,None
689,SIP_Oman_Envi,Select by percentage,100,0,0,0,689,690,None,None
690,SIPTG_MinistryofManpower,Select by percentage,100,0,0,0,1602,1603,None,None
691,SIP_IMTAC_2,Select by percentage,100,0,0,0,691,692,None,None
692,SIPTG_CCC-MOO,Select by percentage,100,0,0,0,1596,1597,None,None
693,SIPTG_Inma_prop,Select by percentage,100,0,0,0,693,694,None,None
694,SIPTG_Travel Services,Select by percentage,100,0,0,0,1600,1601,None,None
695,SIPTG_Hamdan_Trad,Select by percentage,100,0,0,0,695,696,None,None
696,SIPTG_Habib Bank Ltd1,Select by percentage,100,0,0,0,1564,1565,None,None
698,SIPTG_MOD Sultan Arm Signals,Select by percentage,100,0,0,0,1604,1605,None,None
699,SIPTG_Zawawi_Trading,Select by percentage,100,0,0,0,1594,1595,None,None
700,SIPTG_Gnrl Fdratin Oman trd Unin,Select by percentage,100,0,0,0,700,701,None,None
701,ASCADE_Telenor_OsloU1_Uncompressed,Select by percentage,100,0,0,0,80,None,None,None
702,ASCADE_Telenor_OsloU2_Uncompressed,Select by percentage,100,0,0,0,81,None,None,None
703,ASCADE_Telenor_OsloU1_Compressed,Select by percentage,100,0,0,0,82,None,None,None
704,Telenor_OsloU2_Compressed,Select by percentage,100,0,0,0,83,None,None,None
705,ASCADE_Telenor_OsloU1,Select by percentage,50,50,0,0,80,82,None,None
