Route No.,Route Name,Subroute Sel.Mode,Per of Dir Subroutes,Percentage 2,Percentage 3,Percentage 4,1st sub-route,2nd sub-route,3rd sub-route,4th sub-route
2217,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2217,Select by percentage,70,30,50,50,220,221,82,83
2218,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2218,Select by percentage,70,30,60,20,220,221,180,181
2219,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2219,Select by percentage,70,30,50,50,220,221,82,83
2220,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2220,Select by percentage,70,30,50,50,220,221,82,83
2221,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2221,Select by percentage,70,30,50,50,220,221,82,83
2222,Nmobile-1TIS-2Tele-3TATA-4Bharti-5ISC-2222,Select by percentage,100,8,8,46,330,80,81,82
2223,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2223,Select by percentage,70,30,60,20,220,221,180,181
2224,NMobile-1Pantel-2TIS-3Tele-5TATA-6ISC-2224,Select by percentage,100,100,50,50,140,330,80,81
2225,Nmobile-1TATA-2TIS-3Bharti-4Tele-2225,Select by percentage,70,30,100,60,220,221,330,180
2226,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2226,Select by percentage,70,30,60,20,220,221,180,181
2227,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2227,Select by percentage,50,50,50,50,82,83,80,81
2228,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2228,Select by percentage,70,30,60,20,220,221,180,181
2229,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2229,Select by percentage,100,50,50,50,330,80,81,82
2230,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2230,Select by percentage,70,30,60,20,220,221,180,181
2231,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2231,Select by percentage,50,50,50,50,82,83,80,81
2232,NMobile-1TelenorU-2TelenorC-3Invitel-4ISC-2232,Select by percentage,50,50,50,50,80,81,82,83
2233,Nmobile-1TIS-2Tele-3TATA-4Bharti-5ISC-2233,Select by percentage,100,50,50,50,330,80,81,82
2234,Nmobile-1TIS-2Tele-3TATA-4Bharti-5ISC-2234,Select by percentage,100,8,8,46,330,80,81,82
2235,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2235,Select by percentage,100,50,50,50,330,80,81,82
2236,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2236,Select by percentage,100,50,50,50,330,80,81,82
2237,NMobile-1TelenorU-2TelenorC-3Invitel-4ISC-2237,Select by percentage,8,8,46,38,80,81,82,83
2238,Nmobile-1IDTVOIP-2TlnrC-3TlnrU-4TATAC-5TATAU-6Bharti-7ISC-2238,Select by percentage,50,50,50,50,270,271,82,83
2239,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2239,Select by percentage,100,50,50,50,330,80,81,82
2240,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2240,Select by percentage,100,50,50,50,330,80,81,82
2241,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2241,Select by percentage,50,50,50,50,82,83,80,81
2242,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2242,Select by percentage,70,30,60,20,220,221,180,181
2243,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2243,Select by percentage,50,50,50,50,82,83,80,81
2244,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2244,Select by percentage,50,50,50,50,82,83,80,81
2245,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2245,Select by percentage,50,50,50,50,82,83,80,81
2246,NMobile-1ISC-2246,Select by percentage,50,50,0,0,60,61,None,None
2247,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2247,Select by percentage,70,30,60,20,220,221,180,181
2248,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2248,Select by percentage,50,50,50,50,82,83,80,81
2249,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2249,Select by percentage,50,50,50,50,82,83,80,81
2250,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2250,Select by percentage,70,30,60,20,220,221,180,181
2251,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2251,Select by percentage,100,50,50,50,330,80,81,82
2252,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2252,Select by percentage,100,50,50,50,330,80,81,82
2253,NMobile-1ISC-2253,Select by percentage,50,50,0,0,60,61,None,None
2254,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2254,Select by percentage,50,50,50,50,82,83,80,81
2255,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2255,Select by percentage,70,30,60,20,220,221,180,181
2256,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2256,Select by percentage,70,30,60,20,220,221,180,181
2257,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2257,Select by percentage,70,30,60,20,220,221,180,181
2258,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2258,Select by percentage,70,30,60,20,220,221,180,181
2259,Nmobile-1TIS-2Tele-3TATA-5Bharti-6ISC-2259,Select by percentage,100,50,50,50,330,80,81,82
2260,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2260,Select by percentage,70,30,60,20,220,221,180,181
2261,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2261,Select by percentage,70,30,60,20,220,221,180,181
2262,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2262,Select by percentage,70,30,60,20,220,221,180,181
2263,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2263,Select by percentage,70,30,60,20,220,221,180,181
2264,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2264,Select by percentage,70,30,60,20,220,221,180,181
2265,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2265,Select by percentage,70,30,50,50,220,221,82,83
2266,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2266,Select by percentage,65,35,60,40,220,221,351,350
2267,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2267,Select by percentage,70,30,50,50,220,221,82,83
2268,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2268,Select by percentage,70,30,60,20,220,221,180,181
2269,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2269,Select by percentage,70,30,50,50,220,221,82,83
2270,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2270,Select by percentage,70,30,50,50,220,221,82,83
2271,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2271,Select by percentage,70,30,50,50,220,221,82,83
2272,Nmobile-2Bharti-3Tele-4TATA-2272,Select by percentage,60,20,20,46,180,181,182,82
2273,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2273,Select by percentage,70,30,50,50,220,221,82,83
2274,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2274,Select by percentage,70,30,50,50,220,221,82,83
2275,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2275,Select by percentage,70,30,50,50,220,221,82,83
2276,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2276,Select by percentage,70,30,46,38,220,221,82,83
2277,Nmobile-1TATA-2TATAVOIP-3TATAIND-4Tele-5IDTVOIP-2277,Select by percentage,70,30,100,40,220,221,222,350
2278,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2278,Select by percentage,70,30,60,20,220,221,180,181
2279,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2279,Select by percentage,70,30,50,50,220,221,82,83
2280,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2280,Select by percentage,70,30,46,38,220,221,82,83
2281,Nmobile-2Bharti-3Tele-4TATA-2281,Select by percentage,60,20,20,46,180,181,182,82
2282,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2282,Select by percentage,70,30,50,50,220,221,82,83
2283,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2283,Select by percentage,70,30,50,50,220,221,82,83
2284,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2284,Select by percentage,70,30,60,20,220,221,180,181
2285,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2285,Select by percentage,70,30,50,50,220,221,82,83
2286,Nmobile-2Bharti-3Tele-4TATA-2286,Select by percentage,60,20,20,46,180,181,182,82
2287,Nmobile-2Bharti-3Tele-4TATA-2287,Select by percentage,60,20,20,46,180,181,182,82
2288,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2288,Select by percentage,70,30,50,50,220,221,82,83
2289,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2289,Select by percentage,70,30,46,38,220,221,82,83
2290,Nmobile-1TATA-2TATA_VOIP-3TATA_IND-4Tele-5Invitel-2290,Select by percentage,70,30,100,40,220,221,222,350
2291,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2291,Select by percentage,70,30,60,20,220,221,180,181
2292,Nmobile-2Bharti-3Tele-4TATA-2292,Select by percentage,60,20,20,46,180,181,182,82
2293,Nmobile-2Bharti-3Tele-4TATA-2293,Select by percentage,60,20,20,46,180,181,182,82
2294,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2294,Select by percentage,70,30,46,38,220,221,82,83
2295,Nmobile-2Bharti-3Tele-4TATA-2295,Select by percentage,60,20,20,46,180,181,182,82
2296,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2296,Select by percentage,70,30,50,50,220,221,82,83
2297,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2297,Select by percentage,70,30,50,50,220,221,82,83
2298,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2298,Select by percentage,70,30,60,20,220,221,180,181
2299,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2299,Select by percentage,70,30,60,20,220,221,180,181
2300,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2300,Select by percentage,70,30,50,50,220,221,82,83
2301,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2301,Select by percentage,70,30,50,50,220,221,82,83
2302,Nmobile-2Bharti-3Tele-4TATA-2302,Select by percentage,60,20,20,46,180,181,182,82
2303,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2303,Select by percentage,70,30,50,50,220,221,82,83
2304,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2304,Select by percentage,70,30,60,20,220,221,180,181
2305,NMobile-1ISC-2305,Select by percentage,50,50,0,0,60,61,None,None
2306,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2306,Select by percentage,70,30,60,20,220,221,180,181
2307,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2307,Select by percentage,70,30,50,50,220,221,82,83
2308,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2308,Select by percentage,70,30,60,20,220,221,180,181
2309,Nmobile-2Bharti-3Tele-4TATA-2309,Select by percentage,60,20,20,46,180,181,182,82
2310,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2310,Select by percentage,70,30,60,20,220,221,180,181
2311,Nmobile-2Bharti-3Tele-4TATA-2311,Select by percentage,60,20,20,46,180,181,182,82
2312,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2312,Select by percentage,70,30,50,50,220,221,82,83
2313,Nmobile-2Bharti-3Tele-4TATA-2313,Select by percentage,60,20,20,46,180,181,182,82
2314,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2314,Select by percentage,70,30,60,20,220,221,180,181
2315,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2315,Select by percentage,70,30,60,20,220,221,180,181
2316,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2316,Select by percentage,70,30,60,20,220,221,180,181
2317,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2317,Select by percentage,70,30,60,20,220,221,180,181
2318,Nmobile-2Bharti-3Tele-4TATA-2318,Select by percentage,60,20,20,46,180,181,182,82
2319,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2319,Select by percentage,70,30,60,20,220,221,180,181
2320,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2320,Select by percentage,70,30,50,50,220,221,82,83
2321,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2321,Select by percentage,70,30,46,38,220,221,82,83
2322,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2322,Select by percentage,70,30,50,50,220,221,82,83
2323,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2323,Select by percentage,46,38,8,8,82,83,80,81
2324,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2324,Select by percentage,70,30,50,50,220,221,82,83
2325,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2325,Select by percentage,70,30,50,50,220,221,82,83
2326,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2326,Select by percentage,70,30,50,50,220,221,82,83
2327,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2327,Select by percentage,70,30,50,50,220,221,82,83
2328,Nmobile-1TATA-2Tele-3Bharti-4TIS-6ISC-2328,Select by percentage,70,30,50,50,220,221,82,83
2329,Nmobile-1TataU-2TataC-3TelenorU-4TelenorC-2329,Select by percentage,70,30,50,50,220,221,80,81
2330,Nmobile-1TataU-2TataC-3TelenorU-4TelenorC-2330,Select by percentage,70,30,50,50,220,221,80,81
2331,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2331,Select by percentage,70,30,60,20,220,221,180,181
2332,Nmobile-1Bharti-2Tele-3TATA-2332,Select by percentage,60,20,20,46,180,181,182,82
2333,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2333,Select by percentage,70,30,60,20,220,221,180,181
2334,Nmobile-1TelenorC-2TelenorU-3TataU-4TataC-5Bharti-6ISC-2334,Select by percentage,50,50,50,50,82,83,80,81
2335,Nmobile-1TelenorC-2TelenorU-3TataU-4TataC-5Bharti-6ISC-2335,Select by percentage,50,50,50,50,82,83,80,81
2336,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2336,Select by percentage,70,30,50,50,220,221,82,83
2337,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2337,Select by percentage,70,30,60,20,220,221,180,181
2338,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2338,Select by percentage,70,30,60,20,220,221,180,181
2339,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2339,Select by percentage,70,30,46,38,220,221,82,83
2340,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2340,Select by percentage,70,30,60,20,220,221,180,181
2341,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2341,Select by percentage,70,30,60,20,220,221,180,181
2342,Nmobile-1Bharti-2Tele-3TATA-2342,Select by percentage,60,20,20,46,180,181,182,82
2343,NMobile-1ISC-2343,Select by percentage,50,50,0,0,60,61,None,None
2344,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2344,Select by percentage,70,30,60,20,220,221,180,181
2345,Nmobile-1Indosat-2TIS-3Tele-4IDTVOIP-5Bharti-6Protel-2345,Select by percentage,50,50,100,10,370,371,330,80
2346,Nmobile-1Indosat-2Bharti-3JT-4Tele-5TATA-6TIS-2346,Select by percentage,50,50,60,20,370,371,180,181
2347,Nmobile-1TATA-2TATAVOIP-3TATAIND-4IDTVOIP-5Protel-2347,Select by percentage,70,30,100,40,220,221,222,350
2348,Nmobile-1TATA-2TIS-3Protel-4JT-5Bharti-2348,Select by percentage,70,30,50,25,220,221,330,340
2349,Nmobile-1TIS-2TATAVOIP-3Britel-4JT-5Protel-2349,Select by percentage,50,25,25,100,330,340,341,222
2350,Nmobile-1TIS-2Bharti-3JT-4TATAIND-5TATAVOIP-2350,Select by percentage,50,25,25,60,330,340,341,180
2351,Nmobile-1TIS-2Indosat-3JT-4Bharti-5Tele-2351,Select by percentage,50,25,25,50,330,340,341,370
2352,Nmobile-1TATAVOIP-2JT-3IDT-4Britel-5Protel-2352,Select by percentage,100,50,50,50,222,260,261,270
2353,Nmobile-1IDT-2JT-3Protel-4Bharti-5TATA-2353,Select by percentage,50,50,50,50,270,271,260,261
2354,Nmobile-1JT-2Protel-3IDT-4TATA-5Bharti-2354,Select by percentage,50,50,50,50,260,261,335,336
2355,Nmobile-1JT-2Bharti-3TATA-4Tele-5TIS-6Protel-2355,Select by percentage,25,25,30,10,260,261,180,181
2356,Nmobile-1JT-2Bharti-3TATA-4Tele-5TIS-6Protel-2356,Select by percentage,50,50,60,20,260,261,180,181
2357,Nmobile-1Protel-2IDT VOIP-3JT-4Britel-5TIS-2357,Select by percentage,50,50,50,50,335,336,270,271
2358,Nmobile-1TIS-2TATA-3Tele-4IDTVOIP-5Bharti-6Protel-2358,Select by percentage,100,70,30,10,330,220,221,80
2359,NMobile-1Qtel-2TelC-3TelU-4Bha-5TataC-6ISC-2359,Select by percentage,50,50,14,86,113,114,111,112
2360,NMobile-1Qtel-2TelC-3TelU-4Bha-5TataC-6ISC-2360,Select by percentage,50,50,14,86,113,114,111,112
2361,Nmobile-1Bharti-2TATA-3Protel-4Tele-5JT-2361,Select by percentage,60,20,20,70,180,181,182,220
2362,NMobile-1JT-2TATA-3Bharti-4Tele-5ISC-2362,Select by percentage,50,50,70,30,260,261,220,221
2363,Nmobile-1JT-2Bharti-3IDT-4TATAVOIP-5TATA-2363,Select by percentage,50,50,60,20,260,261,180,181
2364,Nmobile-1JT-2Bharti-3IDT-4TATAVOIP-5TATA-2364,Select by percentage,50,50,60,20,260,261,180,181
2365,Nmobile-1JT-2IDT-3TATAVOIP-4Protel-5Pantel-2365,Select by percentage,50,50,50,50,260,261,270,271
2366,Nmobile-11Bharti-2Protel-3JT-4TATAIND-5IDT-2366,Select by percentage,60,20,20,50,180,181,182,335
2367,Nmobile-1TATA-2JT-3Bharti-4TATAVOIP-5TATAIND-2367,Select by percentage,60,20,5,5,220,221,260,261
2368,Nmobile-1Bharti-2TIS-3IDT-4JT-5Protel-2368,Select by percentage,60,20,20,50,180,181,182,330
2369,Nmobile-1TATA-2TIS-3IDT-4JT-5Protel-2369,Select by percentage,70,30,50,25,220,221,330,340
2370,NMobile-1TIS-2IDT-3JT-4Britel-5TATA-2370,Select by percentage,50,25,25,50,330,340,341,270
2371,NMobile-1TIS-2TATAIND-3Britel-4Bharti-5TATA-2371,Select by percentage,50,25,25,50,330,340,341,350
2372,NMobile-1TIS-2Protel-3TATAVOIP-4Britel-5JT-2372,Select by percentage,50,25,25,50,330,340,341,335
2373,NMobile-1TIS-2TATAIND-3Britel-4Bharti-5TATA-2373,Select by percentage,50,25,25,50,330,340,341,350
2374,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2374,Select by percentage,70,30,60,20,220,221,180,181
2375,NMobile-1JT-Bharti-3Invitel-4TATAInd-2375,Select by percentage,50,50,60,20,260,261,180,181
2376,NMobile-1Bharti-2TATA-3TATA_Ind-4Tele-5ISC-2376,Select by percentage,60,20,20,70,180,181,182,220
2377,NMobile-1JT-2Britel-3TATA-4TATAIND-5Protel-2377,Select by percentage,50,50,50,50,260,261,320,321
2378,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2378,Select by percentage,70,30,60,20,220,221,180,181
2379,NMobile-1Bharti-2TATA-3TATA_Ind-4Tele-5ISC-2379,Select by percentage,60,20,20,70,180,181,182,220
2380,NMobile-1JT-2TATA-3Britel-4IDT-5Protel-2380,Select by percentage,50,50,70,30,260,261,220,221
2381,NMobile-1Bharti-JT-3Invitel-4TATAInd-2381,Select by percentage,60,20,20,50,180,181,182,260
2382,NMobile-1Bharti-2TATA-3TATA_Ind-4Tele-5ISC-2382,Select by percentage,60,20,20,70,180,181,182,220
2383,Nmobile-1Bharti-2JT-3TATA-4TIS-5Tele-6Protel-2383,Select by percentage,60,20,20,50,180,181,182,260
2384,Nmobile-1TATA-2Tele-3TIS-4IDTVOIP-5Bharti-2384,Select by percentage,65,35,50,50,220,221,261,260
2385,Nmobile-1TATA-2Tele-3TIS-4IDTVOIP-5Bharti-2385,Select by percentage,50,50,65,35,261,260,220,221
2386,Nmobile-1TATA-2Tele-3TIS-4IDTVOIP-5Bharti-2386,Select by percentage,45,35,10,10,82,83,81,80
2387,Nmobile-1TATA-2Tele-3TIS-4IDTVOIP-5Bharti-2387,Select by percentage,45,35,10,10,82,83,81,80
2388,Nmobile-1TATA-2Tele-3TIS-4IDTVOIP-5Bharti-2388,Select by percentage,65,35,50,50,220,221,261,260
2389,Nmobile-1Tele-2Bharti-3TIS-4TATA-5JT-6Protel-2389,Select by percentage,10,10,45,35,80,81,82,83
2390,Nmobile-1TATAVOIP-2TIS-3IDT-4TATA-5Protel-2390,Select by percentage,100,50,25,25,222,330,340,341
2391,Nmobile-1Protel-2TIS-3IDT-4TATA-5TATAVOIP-2391,Select by percentage,50,50,50,25,335,336,330,340
2392,Nmobile-1JT-2TIS-3Bharti-4Pantel-5Protel-2392,Select by percentage,50,50,50,25,260,261,330,340
2393,Nmobile-1Protel-2TIS-3IDT-4TATA-5TATAVOIP-2393,Select by percentage,50,50,50,25,335,336,330,340
2394,Nmobile-1TATA-2Tele-3Bhrti-4IDTVOIP-2394,Select by percentage,70,30,46,38,220,221,82,83
2395,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2395,Select by percentage,46,38,8,8,82,83,80,81
2396,NMobile-1TelenorC-2TelenorU-3TataC-4TataU-5Bharti-6ISC-2396,Select by percentage,46,38,8,8,82,83,80,81
2397,Nmobile-1JT-2TIS-3TATA-4Tele-5Bharti-6Protel-2397,Select by percentage,50,50,100,70,260,261,330,220
2398,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2398,Select by percentage,70,30,46,38,220,221,82,83
2399,Nmobile-1IDTVOIP-2TATA-3Pantel-4Bharti-2399,Select by percentage,50,50,70,30,270,271,220,221
2400,Nmobile-1IDTVOIP-2TATA-3Pantel-4Bharti-2400,Select by percentage,50,50,70,30,270,271,220,221
2401,Nmobile-1IDTVOIP-2TATA-3Pantel-4Bharti-2401,Select by percentage,50,50,70,30,270,271,220,221
2402,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2402,Select by percentage,70,30,46,38,220,221,82,83
2403,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2403,Select by percentage,70,30,60,20,220,221,180,181
2404,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2404,Select by percentage,70,30,60,20,220,221,180,181
2405,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2405,Select by percentage,70,30,46,38,220,221,82,83
2406,Nmobile-1Bharti-2Tele-3TATA-2406,Select by percentage,60,20,20,46,180,181,182,82
2407,Nmobile-1Bharti-2Tele-3TATA-2407,Select by percentage,60,20,20,46,180,181,182,82
2408,Nmobile-1Tele-2TATA IND-3TATA-4BT-5IDT-2408,Select by percentage,46,38,8,8,82,83,80,81
2409,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2409,Select by percentage,70,30,46,38,220,221,82,83
2410,Nmobile-1TelenorC-2TelenorU-3Bharti-4TataU-5TataC-6ISC-2410,Select by percentage,46,38,8,8,82,83,80,81
2411,Nmobile-1TelenorC-2TelenorU-3Bharti-4TataU-5TataC-6ISC-2411,Select by percentage,46,38,8,8,82,83,80,81
2412,Nmobile-1TelenorC-2TelenorU-3Bharti-4TataU-5TataC-6ISC-2412,Select by percentage,46,38,8,8,82,83,80,81
2413,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2413,Select by percentage,70,30,46,38,220,221,82,83
2414,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2414,Select by percentage,70,30,60,20,220,221,180,181
2415,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2415,Select by percentage,70,30,46,38,220,221,82,83
2416,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2416,Select by percentage,70,30,46,38,220,221,82,83
2417,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2417,Select by percentage,70,30,46,38,220,221,82,83
2418,Nmobile-1Britel-2TATAVOIP-3JT-4IDT-5Protel-2418,Select by percentage,50,50,100,50,320,321,222,260
2419,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2419,Select by percentage,70,30,60,20,220,221,180,181
2420,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2420,Select by percentage,70,30,60,20,220,221,180,181
2421,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2421,Select by percentage,70,30,46,38,220,221,82,83
2422,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2422,Select by percentage,70,30,60,20,220,221,180,181
2423,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2423,Select by percentage,70,30,60,20,220,221,180,181
2424,Nmobile-1TIS-2Tele-3TATA-4Bharti-5ISC-2424,Select by percentage,100,8,8,46,330,80,81,82
2425,Nmobile-1TIS-2Tele-3TATA-4Bharti-5ISC-2425,Select by percentage,100,8,8,46,330,80,81,82
2426,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2426,Select by percentage,70,30,60,20,220,221,180,181
2427,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2427,Select by percentage,70,30,60,20,220,221,180,181
2428,Nmobile-1Bharti-2TataU-3TataC-4TelenorC-5TelenorU-6ISC-2428,Select by percentage,60,20,20,70,180,181,182,220
2429,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2429,Select by percentage,70,30,60,20,220,221,180,181
2430,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2430,Select by percentage,70,30,60,20,220,221,180,181
2431,Nmobile-1Bharti-2TataU-3TataC-4TelenorC-5TelenorU-6ISC-2431,Select by percentage,60,20,20,70,180,181,182,220
2432,NMobile-1TelenorU-2TelenorC-3Invitel-4ISC-2432,Select by percentage,8,8,46,38,80,81,82,83
2433,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2433,Select by percentage,70,30,60,20,220,221,180,181
2434,NMobile-1TelenorU-2TelenorC-3Invitel-4ISC-2434,Select by percentage,8,8,46,38,80,81,82,83
2435,NMobile-1TelenorU-2TelenorC-3Invitel-4ISC-2435,Select by percentage,8,8,46,38,80,81,82,83
2436,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2436,Select by percentage,70,30,60,20,220,221,180,181
2437,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2437,Select by percentage,70,30,46,38,220,221,82,83
2438,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2438,Select by percentage,70,30,46,38,220,221,82,83
2439,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2439,Select by percentage,70,30,60,20,220,221,180,181
2440,Nmobile-1TATA-2Tele-3Bharti-4TIS-5ISC-2440,Select by percentage,70,30,46,38,220,221,82,83
2441,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2441,Select by percentage,70,30,60,20,220,221,180,181
2442,Nmobile-1Bharti-2Protel-3JT-4Britel-5TIS-2442,Select by percentage,60,20,20,50,180,181,182,335
2443,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2443,Select by percentage,70,30,60,20,220,221,180,181
2444,Nmobile-1TATA-2Bharti-3Protel-4JT-5TIS-2444,Select by percentage,70,30,60,20,220,221,180,181
